"year","district","births"
2024,"Glacis","52"
2024,"Grand Anse Mahe","49"
2024,"Grand Anse Praslin","51"
2024,"Ile Perseverance","84"
2024,"La Digue and Inner Islands","32"
2024,"Les Mamelles","34"
2024,"Mont Buxton","45"
2024,"Mont Fleuri","41"
2024,"Other Islands",NA
2024,"Plaisance","57"
2024,"Pointe Larue","51"
2024,"Port Glaud","33"
2024,"Roche Caiman","39"
2024,"Saint Louis","49"
2024,"Takamaka","41"
2024,"Not Stated","1"
